 rhizoctonia-root-rot, diaporthe-stem-canker
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 rhizoctonia-root-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, phytophthora-rot
 phytophthora-rot, rhizoctonia-root-rot
 phytophthora-rot, phytophthora-rot
 brown-stem-rot, charcoal-rot
